	备注	弹幕填充ing
77	河南很出名的民营企业，拖欠一个月工资不给了，据说还要筹划上市，搞笑！	"徐H？   我怀疑是朝阳
"
78	向应届生要违约金的垃圾公司，就不点名了，听名字挺气派的，败絮其中	"省院？省院一直给新生要违约金，但是今年要是真想走也不要了
交通院吧"
79	工资总是拖欠十天半个月再发	打算润了
80	经常加班，准备转行	欠钱绝了
81	偶尔加班，老实待着，不图钱，混！	月发还少一个月勒，别说奖金了  可望不可及
82	有项目往死里加班，忙的时候周超100小时，废命。今年基本无项目，一半时间在内部学习培训，目前工资还能正常发，凑合着过。	基准？
83	 	
84	钱少事多，工资总是拖欠个十天半月，准备转行	
85		机械
86	民用部门	
87		
88	2021年月发一万多，2022年年初降薪，到年中只发基本工资2-3k，。。。马上倒闭	
89	年年降薪，干不下去了	总共两万三还没到手，只到手有一万多
90	哎 这个大环境不好干啊  哦对 是国企	到手两万七产值能能负多少？
91	同样向应届生要违约金的垃圾公司，听名字以为多牛逼，笔试在破餐厅	省建筑院吗，市建筑？省建筑院！
92	国企，工资打折，没有国企的命，得了国企的病。	sippr？
93	民营地产管培，工作闲，偶尔深夜要东西，偶尔周末值班，屁事多，全是擦屁股扯皮，干的多担责多，领导不担责，有本事的人全跑了剩下一群推诿耍猾的，公司管理混乱，最长拖欠三个月工资，已润	郑州地产还有活着的？还有只拖欠三个月的？
94	好几个月没发工资了	
95		
96		郑大院？
97	文化路这边某院，组织架构混乱，事多，但平时基本不加班，总的来说比建筑好点。	
98	注册证书补贴高点，有活加班干活，没活安排其他事情。压榨太厉害。中年危机迷茫，资质改革不知道要改成啥	注册暖通工程师么？好高啊.
99	卷就完了，卷一个天翻地覆，河南市场乱的yapi	洛阳工资不错啊
100	活不好干，是很不好干，很不好干！！	
101	背锅多，给施工的背锅；	
102	包含所有，加班多，出差多，自己想办法搞钱，不稳定，明年说不定大幅下降	
103	天天没活，只能等死，现在开始减薪了	我也是
104	前几年靠集团公司养，市场不好设计院领导慌了，垃圾领导没什么眼光，但凡有一点出路就是立马走人	谁有什么新的行业介绍一下呗
105	有活没钱，工资降到了2000，还不准时发放	市院吧？
106	年终没有	
107	有活没钱，经常被白嫖方案	
108	"一年40个项目，一年到头没假期没周六周日，入职至今没见过奖金，
领导层层往上舔，官僚制度横行，领导全体开摆，来一年当项负，你可以体验同时做十个项目的快感。开会多，破项目多，傻逼甲方多，发钱少，一天画一个大饼。没救了郑州，年后就润"	
109	就那样吧没活双休每天准时下班 中午晚上都在三楼吃牢饭	也是个人命名最大的设计院吗？
110	摇摇欲坠，天天想转行	你也是河南最大私企设计院吧  哈哈
111	发点儿吧，活不了了	
112	能不能相个亲	这是什么公司？
113	天天大群舔公司，舔老板，你不舔你领导和你面谈，少发工资让你理解，节点 缩短设计时间，降薪，加班没得跑	x辉？
114		
115	今年要生孩子啦，该失业了。。。	
116	垃圾公司、骨科医院地铁口的 上海千年垃圾公司 老板欠钱不给、说的缴社保最后钱扣了但是一直没有缴上。辞职公司欠的钱就没有了	市政华北院吧
117	公司有的贼垃圾，有的贼强。能回款的项目没人当回事，最后被扣设计费，不能回款的往死里面跪舔。净是烂活，方案还不确定，施工图都能出一版。来回折腾，一个项目出五六次图都是小事。	
118	垃圾公司、骨科医院地铁口的 上海千年垃圾公司 老板欠钱不给、说的缴社保最后钱扣了但是一直没有缴上。辞职公司欠的钱就没有了	千年老板是新乡的吧
119	老板润了，牛皮	哪个公司？
120	整个被公司压榨成人干。加了一年班就这么点产值，单价低	
121		
122	今年算是最轻松的一年了 也是收入最低的一年 恒大贻害无穷	基x方中吧？或者是长厦安基。都是人血馒头企业
123	私活钱不好要，收入不稳定	这个收入，我想回信阳了
124	什么都干，方案、效果图、施工图，天天听老板吹牛，不是自己的项目说是自己的，就给人家画了个图，就说这个项目是自己的，真不怕风大闪了舌头	
125	公司定位：全国以个人命名的最大的私人设计院(去年过年没发一分钱，现在还欠一个整月的工资没发)	徐辉
126	4线小城市，工资基本上是谷底了，孩子刚出生，跑都不好跑	驻马店哪个公司啊，我也在驻马店 驿城区
127	每天早上鸡汤朝拜，工资还尼玛没有一个刚毕业的学生给的多，垃圾死了，不回款怪画图的质量不行	哪家设计院？
128	给员工打了8折再打9折，裁了一半人，勉强保住我年底换车	6
129	已跑路，运气不好进不好的分院，绩效算法比迷宫还迷	sippr？
130	私企	请问天津有推荐公司吗？年后想去~
131	项目干的不少，回款难	
132	23年注定没项目没钱发的开始，准备跑路了。	这收入可以了
133	私企	咋整的老哥，绩效不足怎么还能让哥们补的？
134	项目收不来钱，奖金发不下来，五六年前的项目现在钱都没结清。方案改个没完，每次图纸深度很够直接推翻。天天领导PUA，24x7待命。不干了，谁爱干谁干。一千多不值得。	同事你好
135	民营地产管培，近期不拿地所以很闲但开始卷了。以前拿地的时候每天加班，基本上没有个人生活。双休的时候可以放肆点。	天友吗？
136	民营地产管培，工作闲，屁事多全是擦屁股扯皮，公司管理混乱，不断裁员，拖欠两个月工资，已润	球球，请问是哪个公司啊，年后好避雷
137	小企业，挂靠上海某家公司，以强横割韭菜来成长自家公司，熬走的员工很多，流动性贼大。	天华？
138	方案加施工图，施工图以外包为主，累，不想干了，干不动了	
139	某中字头央企汽车行业设计院，签的年薪制合同，欠薪不发，离职后欠了十几万，准备走仲裁的前一天，找到大集团一把手，给发了80%	千万别去，避坑      机5？
140	国企，没有回款，工资打折	
141	两个月没发工资了	
142	今年就靠私活儿活着呢。	
143	氛围轻松，不打卡，保障休息日	
144	强度适中，公司氛围很好	啥公司，还要人不+1
145	电子行业设计院，待遇中等，工作量中等	十一科技/世源科技吗？
146	公司员工饱和，目前处于方案和施工图都做，感觉公司没我能发展的空间了，本来两次奖金的，年中那次都没发，年底估计会扣一些，年后想转行了	领导人品不行/感觉你跟我一个公司
147		
148	呵呵	
149	淦	
150	牛马，累，非常累，无休止的加班，十二点下班常态	
151	单休，经常性加班值班，被领导PUA军训	
152	周期性加班、忙	三院么？
153	全年无休	央企造价？施工还是设计院工经
154	国企院，出差和熬夜加班是常态，领导水平低只会舔甲方，没下限。一线员工没尊严，国企那一套很恶心，，	哥们可以
155		硕士劳务派遣？？？
156	凑热闹	公积金天津的上限这么高吗？可以到九千？
157	双休，24小时待机，加班常事	
158	双休 摸鱼	
159	纯纯牛马宫斗剧，院长除了pua和黑你钱啥都不会，院长经常抽风让全院半路接手一个活，在外面拉来几个不给钱的活就觉得自己天下无敌了另外明年要从江苏某地产私企脱离出来独立成立公司，底薪和其他待遇直接最低，，，，千万别来千万别来千万别来！！！！！！！前几年欠的提成还没发，发下来一部分还被院长吃拿卡要	金丰？
160	未毕业实习生，小公司挂靠大院，没有前景，但是公司氛围不错基本不加班	
161	一注刚考过，西北小城市	妈耶，这就是我不敢回老家发展，虽然在这边也不咋滴
162	二注，惨	甘肃人不敢回甘肃了
163	干不动了，感觉没啥意义想跑路但是不好跑，辞职跑路据说会以各种手段收钱	一看到跑路扣钱盲猜甘建投
164	项目不太行，学不到东西，想跑路又不知道往哪里跑	
165	很累，无休止的加班，经常加班到12点，周末几乎无休	
166	经常加班到12点，各种琐碎	"听说土木离职率特别高，很多还是国‌‌‌‌‌‌​​‌​​​​‌‌​‌​‌​‌‌企，
我是大三的，我觉得这个专业还是很不错的的，毕业也好找工作。现在很多别的什么专业工作可不好找，看到很多师兄抱怨工地怎么苦怎么样的，我就想这点苦都受不了，干别的肯定也不行。"
167	年始从元宇宙行业辞职，先后创业在线教育，素质教育，在高效带了两个月的课后，6月份开始转行创业室内设计。	现在在菏泽还是青岛 我今年上半年在菏建 现在青岛
168	干够了 干够了	
169	上海某chuang分公司，招聘合同和实发差很多，五险一金也不正经交，没有成长没人教	我已出仓，感觉良好。（都是画大饼的骗子）
170	迷茫，经常加班	
171	"强度低，适合养老，穷，评职称看年龄
等着熬年限考证"	年限0.5，半年3.6w?　
172	公积金很可以	什么神仙单位
173		兄弟，12年才4.2...有点惨啊，什么公司，说出来让大家避避雷....
174	山东qd某知名大型设计民企	"我不信，QD工资有这个水平
2. 大哥这是到管理层了吧？"
175	双注，偶尔加班	厉害
176	有一注证书	
177	暂时看来不咋加班，之后不晓得	方便透露那个平台吗
178	上半年忙，10月份之后没啥正经事情	
179	一直忙，瞎忙，干些不靠谱的事情	
180	行外甲方，但是项目快结束了，还在思考出路	
181	"号称山东第一大设计院
"	tg？同圆还是省院？同圆奖金没发呢呀
182	"哈麻皮。。
"	能按时发工资就是好单位
183		这是哪个国企
184	注册+高工	省院么
185	 	这个收入做bim还可以，方便透漏是哪家么？
186		
187	准备不干了，回家继承家里的修车厂。我爸一个月赚我三个月的	有家业继承真好啊
188	隧道以西，建筑院下边的景观专业，加班少，项目质量不行，吃大锅饭，老油条多关系户多，扯皮干个活特别费劲，没啥前途。	青岛公积金真低啊！！！
189	净烂活，推翻重画折腾好几遍。	
190	加班多，非常多，提成很低	长痛不如短痛
191	今年不忙没有项目，今年不怎么加班，给排水专业在建筑院不受待见，钱少事情多。	
192	加班多，项目难	我好想知道这是哪个院；
193		
194	老加班，老挨骂，甲方骂完领导骂	哇 看的我好欣慰啊，八年的硕士
195	今年年终奖估计泡汤，四年全员没涨过工资，也四个月没发工资了，一直画饼	画饼就闪人
196	没活，回不了款，预发和基本工资对半开，还是国企敢信？	
197	加班不多，养老还可以，越干越心累，闲人太多了，一个设计养三个职能	年收入啊大家！？大哥写错了吧 33.5？？？
198	前半年疯狂加班，公司领导天天优化团队还不给钱，毕业两年在方案施工图里司龄排第三，新部门领导每天靠加班时间啥也不干，给图不看啥也没学到	
199		666
200	哪个单位	
201	合同金额年年涨，工资年年降，奖金天天吹。	这个评价和我之前的好像
202		
203		
204	央企施工单位旗下设计院，加班不多，偶尔需要驻场设计，短则三五天，长则一到两个月	铁一？
205	正常上下班，偶尔加班	偶尔加班就挺好了
206	已裁员一半人员，某知名私企设计院	TY吧？
207	产值一样，今年绩效直接减半发，原因是给外院来的领导分钱	青岛
208	土木工程，辣鸡专业，cnm	"听说土木离职率特别高，很多还是国‌‌‌‌‌‌​​‌​​​​‌‌​‌​‌​‌‌企，
我是大三的，我觉得这个专业还是很不错的的，毕业也好找工作。现在很多别的什么专业工作可不好找，看到很多师兄抱怨工地怎么苦怎么样的，我就想这点苦都受不了，干别的肯定也不行。"
209	工资低我只能认真摸鱼，但真的 没啥事可做	
210	经常加班	西南院山东分院？
211	同下边的公司，钱在总公司转一圈就不知道什么年月再回来了。说不发就不发，一句解释没有也是很硬气（wuchi）	两边管理层就差打起来了吧，员工炮灰
212	为大拇指文化传媒加油	
213	整体氛围还可以，加班较多但没有加班费。	
214	上海某设计院青岛分公司。避坑建议。如果不是还有去年的奖金没发，早就走了。年景不好，各种考核扣钱。	天华？
215		
216	迷茫 法定节假日 大年三十放假	兄弟这收入可以了啊。是需要驻场吗
217		这个什么都没写啊……
218	原始是施工3年，后来转的公路设计，也挺迷茫的，法定节假日，遇到急的项目得加班，加班到很晚~目前在学平面设计搞搞副业，没社保考证准备挂	我是潍坊的第二个~另一个评论我写的，我来凑个热闹~~~~
219		咱潍坊不配么，就找了你一个
220	电力设计院，未来可能水平会提高，也可能会被辞退	
221	施工单位旗下设计院，项目多是服务精装，杂 加班不是很严重	方便说下是哪个单位吗？dc？
222	不同子公司间差距好大，好想调换公司	
223	地方财政压力很大，旱涝保收吧	德达还是城投啊哥，能不能详细分享一下怎么进去的吗
224	工业院，靠着别人过日子，受到很多歧视。加上民用不好更受歧视。上半年忙了一阵，下半年划水半年，活儿不饱和	公积金这个1.4w 是月还是年哇？应该是年。。。那就有点悲惨，月的话。请留下你的联系方式1！！！
225	施工图单价跌到了4毛以下	敢问兄台是在哪一家公司啊？想回临沂不知道临沂行情啥情况啊？
226		
227	用爱发电	
228	山水？	xds？
229	活多没钱地位低	ty吧
230	"过了年就是各种忙，补贴加班费过节费取消发放，回款近千，工资不发，也没个说法，NB的很.一直在画大饼
说过的话，就像放屁一样，没有兑现的！垃圾！！！"	各种试探员工底线。到年关了，要收割一波了
231		
232		真的么？
233		央企也这么差了吗？这还差，平均工资能不能过10万都不好说，这家伙能发24
234	所有水暖的活就我一人干，害！钱还比之前人多的时候少，我感觉自己像速成肉食鸡+生产队的老驴…	一个做两人的活，6w  你这性价比在土里吗？
235	景观设计院，阶段性高强度加班	
236	我正常上下班，偶尔加班，其他同事加班多，非常多，提成很低	为啥你正常上下班，摆烂了？但是摆烂的话这个工资也可以了
237	设计院，加班中等，提高效率，基本可保证双休	大佬球带带
238	连续加班三个月没歇	
239	某青岛知名设计院，没有回款的项目基本就没发什么，最后产值算出来还不够预支的钱，今年预支已经降了，忙活一年还要倒贴。	
240	双休 法定假日 没活 随时被阉割中	
241	回潍坊后加班不是很多了，项目也不是很多	明年项目干完去哪个项目，高新奎文都行啊，别跑太远了
242	不经常加班，到点下班，一年没几个活	高新嘛？哪一个呀大哥
243	不怎么加班，到点下班	
244	经常加班，不放年假和任何假期，一年365天能喘气就上班，三年没回家	联系电话18816286384
245	没啥活干，到点下班，公司干坐着	
246		
247	挺闲的	
248	到点下班，偶尔双休	
249	领导pua，画饼，项目款拖着不发一群混子	稍微打听一下避坑
250	偶尔到点下班	
251	偶尔加班，白天很忙，各种开会	
252	朝九晚五，单休，改图，图纸各种错误，各种小配套构件设计。有油补	
253	一年加班3个月左右，压力比较大，后期很多	加班3个月还好啊 SY？
254	2022年三月后辞职，十一月入职，呆的两家设计院都没什么项目	白嫖劳动力啊！比找外援派私活儿省钱多了啊！！老板脑子活络
255	设计公司	加油朋友！你可以的！
256	设计院，双休多	贵院是？
257	我想搞个鱼塘去	
258		
259		国企改制中，心碎
260	不怎么加班，你只要搞得完就有双休。琐碎事太多了，老板太软。	
261	会结构设计、会BIM、还会编程，会参数化	大佬！！！长沙求带
262	不加班	
263	业余爱好不稳定 去年28w左右 今年70w左右	碎银几两解世人惆怅
264	练习时长两年半啥也没挣着，也整副业了，血汗钱七八万吧	
265	听说转正后，前会变少	为什么转正前还会少啊，我本来还想问你在哪...
266	没赚到过钱	湖南也这么惨？5w一年能干什么？
267		
268	忙起来天天加到10点	十点还叫加班吗？
269	编外，转正会高一点	这个感觉还不错耶，毕竟双边比较高，还在试用期
270		怡境要专科嘛 还要人不（要啊 施工图一直缺人）
271	房贷都交不起，一个项目做半年，图纸质量奇差，天天搞后期服务	
272	存不起钱，想买房买车没钱，结婚压力大	日常开销也大，想做的事情没钱做没时间做
273	包含各种平时小福利补贴	
274	周末双休，节假日有福利，	但存不了钱，女朋友都要跑了，没钱买房。压力太大
275	日常加班，周末基本可以双休	哪家院呀，求带
276	忙的时候加班到凌晨，闲的时候没事干。迷茫，当不了项目负责人迟早要走，年纪大更不好找工作。	WX:chenk812，我也结构师 可以聊聊吗
277		项负跟专负还是不一样吧，设备专业很少能当项负的
278	没见过太阳	还招模型深化嘛
279	混个工资，啥也不是	
280	越忙越穷，越穷越忙。双休加班，节假加班，婆娘忙没了	
281	穷的只剩穷	
282	比去年低了，一年比一年低。。	
283	越忙越穷，一年比一年低。	累又拉胯，准备去考监理证，挂监理了去了也有15W还轻松。
284	今年业绩还可以	还可以吧，只是这个专业太拉了
285	有业绩不发钱，一直拖欠，压百分之三十，然后说收不回帐再扣百分之三十，到手的真的少的可怜，转行挺难的	
286	毕业第三年才入行做设计，入行即走下坡路。今年公司降薪裁员很惨烈了，我们团队属于忙了一年的项目到年底几乎没几个项目能回款的。全年净是些改方案、未报先建的搞法，施工图在手里都改烂了，手续还办不下来。	
287	混个日子	啥公司，还要人不。我也想来
288	今年年中到这家公司，前几个月没有正式入职没拿工资，12月份拿第一份工资接近8k，年终奖看项目，但第一年的项目基本都还没回款。	
289	一年到头天天加死班，各种福利没有。年底提成不按提成表正常发，公司领导给你打骨折。	一年公司总收入7-8W，太拉了，跟工作量完全不匹配。
290	尽量不加班，领导反正看不惯，就这样吧，能做的事情做了，这个价格不是加班的价格。希望今年能把注册过了	
291	项目多，事情杂，很多项目回款只有百分之30，项目分成也就只拿到自己该拿的百分之30。	
292	"保住身体健康，想考公



尽力保住身体健康，想考公"	加班吗？
293	某私企甲级院，24小时待命工作，工作环境还行，公司内部关系非常乱，常年走下坡路，甲方说一不二	
294	工作环境还行，就是项目太多了总是要加班	按年限来看在大长沙这水平！偷着乐吧。公积金这交的八成有体制乐
295	随时待命	WX:chenk812，我也结构师 可以聊聊吗 现在中级有挂靠一说吗
296	工作强度中等，不愁项目	什么叫中等？哈哈
297	双休，项目小组负责人，工作环境还行，加班有调休以及餐补。五险一金都是最低档，基本每个月平均有一周周六会加班，工作日内大多数属于到点下班，一年会有一两次凌晨3 4点下班或者通宵。一个月平均出差1次（2-3天）在行业内属于中等忙，没卷到离谱，项目不好就年底没钱，达到标准也就几千块奖金，很少上W。	这几年长沙同行公司暴雷的太多的。不是PUA就是拖欠工资，天天忙活一些没钱项目，老板看你闲着还不爽。
298	从景观设计转行过来的，工程行业没前途了，权宜之地。	
299	结构建筑啥都做	
300	事多钱少，办公室工作环境不行冬冷夏热，没有福利，只要有项目就基本会要加班，不会合理安排时间。	
301	每周基本3-4天加班 每次放五一 国庆还要喊一两天来加班 没什么福利 大小周	
302	新人不怎么加班，钱少事少，大领导喜欢喝酒	
303	事多钱少 喜欢画饼 内部关系复杂喜欢PUA	
304	事多钱少 前辈不干活儿 拿着最大头的钱	
305	双休 法定假日  施工图躺平准备考公	
306	双休 法定假日 	
307	强度中下	
308	公司今年业绩垃圾，回不来款，欠好几个月工资，明年准备讨薪换工作	
309	据说年前到了还可以按项目发	
310	稀碎，根本存不到钱，年年画饼	
311	欠发达地区打野盲僧，三路没兵线，全靠河道蟹	哈尔滨这个工资可以了 ，哪家啊
312	小作坊，去年奖金没发，今年又没什么活，小改造一堆，没啥钱的那种。辞职吧，又没地方去，转行吧，有没勇气转。咋办兄弟们？	
313	天天同事内卷，BY的事一堆一堆了，没事就背锅。工作中遇见BY的人太多。	
314	一家国企 管吃住 钝刀砍人	半年税后5.3W，管吃管住，还可以呀
315		别闹，大连低的离谱
316	一家买的资质，来了后才发现实习没五险一金，五险一金还是最低档，领导各种直接让你加班，没福利，没聚餐，过年过节没东西，强烈不建议	
317	甲级资质，搬砖工一枚	
318	市政院 注册+中级 活少	请问好进吗？年底打算换一下
319	今年活少，往年要乘以2吧	
320	辽宁	辽宁
321		请问是哪个设计院?给点提示
322	20年28W  21年17W  22年目前不到10W，要断供了。	这是什么比惨种子选手？
323	 钱少活多 	
324	"偶尔加班，个人提升过慢，常常陷入自我怀疑，想跑路
"	
325	轻松但是注重工作质量	
326	偶尔加班	
327	人生就是个杯具，景观就是茶几。想转行，但是不知道自己还能干啥。	老哥，累不累，加班多不多
328	工资降薪、福利缩减，来项目急，时间还短，周六周天都不一定保得住，加班不串休，来项目时候，都快赶上007了，屁事贼多，等待被裁员。公司现在总说不挣钱，挣钱时候没见到多分点，不挣钱时候员工出来抗	太少了吧
329	混合所有制企业，福利超级好，平均每个月福利大概价值1500左右。	鞍钢？是的，鞍钢集团工程技术有限公司，年营业额40亿，在好多省会都是第一大院了
330	老牌民营建筑院	
331	休学一年去实习，几乎不加班，轻松，技术水平要求高，没吹牛逼 真5w	啥公司，还要人不
332	去年毕业俩月降薪到2500，今年四月调回来的，项目忙的时候加班，现在提桶跑路了	
333	不加班，啥也学不到，适合养老，挺舒服，就是钱少	
334	月发1500千，没有然后了，就这点了。备注已经多个月不发工资。	东北院吗
335	方案的工作强度完全不受市场影响，投标，被骗方案，加班，内卷，再被骗方案，就是看不到钱	
336	个人企业小公司，全年无福利	
337	咱们长春这工资，唉	
338	大型私企分集团	加班加到死
339	私企小公司，老板还热爱让员工加班	
340	甲级资质，搬砖工一枚	
341	长春大型国转私房建院	
342	主要是看不到希望	
343	长春设计行业就那么回事吧，别指望赚钱，能糊口就不错···岁数大了不敢转行。	哪个公司啊？
344		
345	年终一算活很少，但却经常加班	
346	勉强维持生活这样子	长春消费水平这么高吗
347	全年年收入包含平时各种餐补房补	请问是省院吗
348	有同事忙了一年算产值倒欠院里几w，还清才能离职	请问是哪个设计院？避雷
349		有没有贵州做建筑方案的老哥，我想要点当地的户型库
350	各种杂事，全是留下的大坑，没太多新项目，难受，感觉很迷茫	
351	上面慌，下面也慌	
352	楼上慌，楼下也慌	
353	公司项目一直都在做，永远说没钱，还倒扣工资，说的后面要发，就看他到底发不发啦	
354	加班  到年底都在一直加班  没有底线    某X德	你说的迈德吗？
355	发不起工资了	
356		请问是啷个设计院呀，兄弟?
357	干不动凌凌漆了，开始魔芋；	哪个公司啊？
358		
359		前期正常一个月3k，后面老板说紧张直接欠发
360	今年基本没啥项目，以前很忙	感觉比较良心，至于以后不知道出路、
361	加班多，没意思，贵阳20多个人的团队，某西南连锁企业	
362	被疯狂裁员的甲方爸爸路过	
363	清闲两个月，疯狂加班两个月，循环往复	
364		
365	小设计公司，设计部门 老板加员工就几个人，也不肯招人，偶尔加班	
366	机电总包设计部，常态996，偶尔997	omg95的公积金；回复:按最低工资1900元的5%购买的
367	基本和去年持平，无升无降	请问是哪个设计院?
368	刚来一年，临时搭建的攻坚队，明年散伙，强制大小周，周一-周五6小时加班，福利还可以	有知道顺德建筑设计院的薪资待遇的吗？求告知
369		
370	私企	
371	项目设计费大概还有3w没发	我猜你是南海国际？
372	老板对设计不专业，遇到事喜欢让员工背锅，正常时间下班说我们不加班，大小周	佛山想买全五险一金除非是国企或公务员，工资不高但是要求贼多
373	经常加班，有时单休有时双休，不固定，今年裁员较多	
